collectivite_id,nom,siren,departement_code,region_code,etoiles_cae,etoiles_eci,nom_epci,departement,nature_juridique,regime_fiscal,population_dgf,population_insee,revenu,potentiel_fiscal,potentiel_fiscal_hab,cif
4785,CU de Dunkerque,245900428,59,32,5,1,CU DE DUNKERQUE,59,CU,FPU,200935.0,195297.0,2808942254.0,358346393.0,1783.394595,0.496956
5307,CU du Grand Poitiers,200069854,86,75,5,3,GRAND POITIERS COMMUNAUTE URBAINE,86,CU,FPU,204749.0,201413.0,3113394902.0,90320097.0,441.125949,0.587967
4209,Brest Métropole,242900314,29,53,5,2,BREST METROPOLE,29,METROPOLE,FPU,221575.0,217444.0,3464207073.0,114816700.0,518.184362,0.575951
4434,Grenoble-Alpes-Métropole,200040715,38,84,5,3,GRENOBLE ALPES METROPOLE,38,METROPOLE,FPU,462979.0,455436.0,7928277492.0,319917433.0,690.997719,0.357764
4378,Rennes Métropole,243500139,35,53,5,4,RENNES MÉTROPOLE,35,METROPOLE,FPU,491543.0,483199.0,8484612416.0,274730740.0,558.914968,0.469388
4935,Ville et Eurométropole de Strasbourg,246700488,67,44,5,4,EUROMÉTROPOLE DE STRASBOURG,67,METROPOLE,FPU,533175.0,522670.0,8739203971.0,372462421.0,698.574429,0.500428
4545,Nantes Métropole,244400404,44,52,5,1,NANTES MÉTROPOLE,44,METROPOLE,FPU,708117.0,695303.0,12960523471.0,452314532.0,638.756776,0.446014
4322,Bordeaux Métropole,243300316,33,75,5,0,BORDEAUX MÉTROPOLE,33,METROPOLE,FPU,870390.0,854949.0,16281671132.0,606972472.0,697.3569,0.533973
5441,Métropole européenne de Lille,200093201,59,32,5,0,METROPOLE EUROPEENNE DE LILLE,59,METROPOLE,FPU,1214816.0,1204796.0,19431035125.0,708712201.0,583.390572,0.445422
4999,Métropole de Lyon,200046977,69,84,5,3,MÉTROPOLE DE LYON,69,METROPOLE,FPU,1475599.0,1449118.0,27657527371.0,1058927715.0,717.625666,0.42162
5196,CC du Thouarsais,247900798,79,75,4,2,CC DU THOUARSAIS,79,CC,FPU,37131.0,36186.0,527690222.0,18583711.0,500.490453,0.442966
5078,CC Coeur de Savoie,200041010,73,84,4,1,CC CŒUR DE SAVOIE,73,CC,FPU,40090.0,38632.0,693910601.0,20731375.0,517.120853,0.340996
4027,CA de La Rochelle,241700434,17,75,4,0,CA LA ROCHELLE,17,CA,FPU,197024.0,185015.0,3602662965.0,91189149.0,462.832696,0.44512
4145,CU Grand Besançon Métropole,242500361,25,27,4,0,GRAND BESANÇON MÉTROPOLE,25,CU,FPU,205546.0,203293.0,3257958983.0,99116476.0,482.210678,0.535773
4730,CA Lorient Agglomération,200042174,56,53,4,0,LORIENT AGGLOMÉRATION,56,CA,FPU,223456.0,213310.0,3632586842.0,87578629.0,391.927847,0.402949
4744,Metz Métropole,200039865,57,44,4,1,METZ MÉTROPOLE,57,METROPOLE,FPU,236628.0,234112.0,4010281977.0,131654799.0,556.378784,0.45491
4692,Métropole du Grand Nancy,245400676,54,44,4,0,METROPOLE DU GRAND NANCY,54,METROPOLE,FPU,266813.0,262233.0,4271079881.0,192227754.0,720.458726,0.573518
4629,CU Angers Loire Métropole,244900015,49,52,4,0,CU ANGERS LOIRE METROPOLE,49,CU,FPU,319928.0,315893.0,5213906327.0,130579145.0,408.151662,0.406054
5118,Métropole Rouen Normandie,200023414,76,28,4,0,MÉTROPOLE ROUEN NORMANDIE,76,METROPOLE,FPU,512461.0,507654.0,7878629435.0,299272829.0,583.991424,0.396612
4359,Montpellier Méditerranée Métropole,243400017,34,76,4,0,MONTPELLIER MÉDITERRANÉE MÉTROPOLE,34,METROPOLE,FPU,534489.0,523109.0,8629496066.0,254510598.0,476.175558,0.559808
4276,Toulouse Métropole,243100518,31,76,4,3,TOULOUSE MÉTROPOLE,31,METROPOLE,FPU,857067.0,842175.0,15068348022.0,664426097.0,775.232388,0.476798
4978,CC de la Vallée de Kaysersberg,246800551,68,44,3,0,CC VALLEE KAYSERSBERG,68,CC,FPU,17620.0,16373.0,333193043.0,8819117.0,500.517423,0.417256
3919,CC des Crêtes Préardennaises,240800862,8,44,3,1,CC CRETES PREARDENNAISES,08,CC,FPU,22966.0,22112.0,330013544.0,5031479.0,219.08382,0.459559
4035,CC de l'Ile d'Oléron,241700624,17,75,3,0,CC ILE D'OLERON,17,CC,FPU,42910.0,22890.0,464985917.0,11638953.0,271.241039,0.43376
4659,"CC de Vitry, Champagne et Der",200034718,51,44,3,0,CC VITRY CHAMPAGNE ET DER,51,CC,FPU,24083.0,23851.0,336827462.0,14408927.0,598.302828,0.664073
4172,CC du Val de Drôme en Biovallée,242600252,26,84,3,0,CC DU VAL DE DRÔME EN BIOVALLÉE,26,CC,FPU,32996.0,31699.0,530099873.0,14119086.0,427.902958,0.439398
4839,Terres d'Argentan Interco,200068450,61,28,3,0,TERRES D’ARGENTAN INTERCO,61,CC,FPU,35333.0,34236.0,483858772.0,14012777.0,396.59177,0.613556
4708,CC du Bassin de Pompey,245400601,54,44,3,0,CC DU BASSIN DE POMPEY,54,CC,FPU,40190.0,40059.0,658846436.0,23885493.0,594.314332,0.517465
